AREA;UBICACIÓN;MCC;TYPE;TAG  Motor;EQUIPAMENT DESCRIPTION;Manufacture;Model Number;Serial Number;Type2;HP;Power (KW);Voltage (V);Current (A);RPM;Frecuencia;Fase;Rendimiento/Factor de Potencia;Factor Servicio;Nema Nom Eff (Eficiencia Nominal)100%;Guar Min Eff (Eficiencia mínima);Frame;Rodam OOP DRIVE;Rodam DRIVE END;Temp Max Amb;Insul Class Clase de Aislamiento;CODE;Weight / Peso (lb.);Amb;Ope;Lub;Tip
REACTIVOS-NaHS;SALA 700;3300-MC-701-01;B;TAG  Motor;Motor de bomba dosificadora de NaHS;WEG;NF;1032103800;NF;0.50;0.37;460;0.875;1730;60;3;0.74;1.00;NF;NF;90S-04;6205-ZZ;6204-ZZ;40;F;NF;30 Kg;R;P;S;G
REACTIVOS-NaHS;SALA 700;3300-MC-701-01;B;TAG  Motor;Motor de bomba dosificadora de NaHS;WEG;NF;1032103801;NF;0.50;0.37;460;0.875;1730;60;3;0.74;1.00;NF;NF;90S-04;6205-ZZ;6204-ZZ;40;F;NF;30 Kg;R;P;S;G
REACTIVOS-NaHS;SALA 700;3300-MC-701-01;B;TAG  Motor;Motor de bomba dosificadora de NaHS;WEG;NF;1018310178;NF;0.50;0.37;460;0.875;1730;60;3;0.74;1.00;NF;NF;90S-04;6205-ZZ;6204-ZZ;40;F;NF;30;R;P;S;G
REACTIVOS-NaHS;SALA 700;3300-MC-701-01;B;TAG  Motor;Motor de bomba dosificadora de NaHS;WEG;NF;No se nota;NF;0.50;0.37;460;0.875;1730;60;3;0.74;1;NF;NF;90S-04;6205-ZZ;6204-ZZ;40;F;NF;30;R;P;S;G
REACTIVOS-NaHS;SALA 700;3300-MC-701-01;B;TAG  Motor;Motor de bomba dosificadora de NaHS;WEG;NF;1018319179;NF;0.50;0.37;460;0.875;1730;60;3;0.74;1.00;NF;NF;90S-04;6205-ZZ;6204-ZZ;40;F;NF;30 Kg;R;P;S;G
REACTIVOS-NaHS;SALA 700;3300-MC-701-01;B;TAG  Motor;Motor de bomba dosificadora de NaHS;WEG;NF;1018319168;NF;0.50;0.37;460;0.875;1730;60;3;0.74;1.00;NF;NF;90S-04;6205-ZZ;6204-ZZ;40;F;NF;30 Kg;R;P;S;G
REACTIVOS-NaHS;SALA 700;3300-MC-701-02;B;TAG  Motor;Motor de bomba dosificadora de NaHS;WEG;NF;1034231166;NF;0.50;0.37;460;0.875;1730;60;3;0.74;1.00;NF;NF;90S-04;6205-ZZ;6204-ZZ;40;F;NF;30 Kg;R;P;S;G
REACTIVOS-NaHS;SALA 700;3300-MC-701-02;B;TAG  Motor;Motor de bomba dosificadora de NaHS;WEG;NF;1018319162;NF;0.50;0.37;460;0.875;1730;60;3;0.74;1.00;NF;NF;90S-04;6205-ZZ;6204-ZZ;40;F;NF;30 Kg;R;P;S;G
REACTIVOS-NaHS;SALA 700;3300-MC-701-02;B;TAG  Motor;Motor de bomba dosificadora de NaHS;WEG;NF;1045405221;NF;0.50;0.37;460;0.875;1730;60;3;0.74;1.00;NF;NF;90S-04;6205-ZZ;6204-ZZ;40;F;NF;30 Kg;R;P;S;G
REACTIVOS-NaHS;SALA 700;3300-MC-701-02;B;TAG  Motor;Motor de bomba dosificadora de NaHS;WEG;NF;1041996184;NF;0.50;0.37;460;0.875;1730;60;3;0.74;1.00;NF;NF;90S-04;6205-ZZ;6204-ZZ;40;F;NF;30 Kg;R;P;S;G
REACTIVOS-NaHS;SALA 700;3300-MC-701-02;B;TAG  Motor;Motor de bomba dosificadora de NaHS;TOSHIBA;0104XDSB41A-P;19010016308;IKKH;10.00;7.5;460;13.00;1760;60;3;79.5;1.15;91.7;90.6;215T;6308-C3;6308-C3;40;F;NF;203 kg;na;na;na;na
REACTIVOS-NaHS;SALA 700;3300-MC-701-02;B;TAG  Motor;Motor de bomba dosificadora de NaHS;TOSHIBA;0104XDSB41A-P;19010016308;IKKH;10.00;7.5;460;13.00;1760;60;3;79.5;1.15;91.7;90.6;215T;6308-C3;6308-C3;40;F;NF;203 kg;na;na;na;na
FILTRADO DE MOLIBDENO;SALA 700;3300-MC-701-01;B;TAG  Motor;MOLYBDENUM FYLTER OVERHEAD CRANE;na;na;na;na;4.02;3;460;6.52;0;0;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
FILTRADO DE MOLIBDENO;SALA 700;3300-MC-701-02;B;TAG  Motor;SPARE REAGENT MIXING HOIST ;na;na;na;na;4.02;3;460;6.52;0;0;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
FILTRADO DE MOLIBDENO;SALA 700;3300-MC-701-01;B;TAG  Motor;MOLYBDENUM CONCENTRATE TICKENER;WEG;TE1BFOXO#;1018335788;NF;4.02;3;460;5.38;1755;60;3;0.80;1.15;87.5;NF;112M;6207-ZZ;6206-ZZ;40;F;NF;43 Kg;R;P;S;G
FILTRADO DE MOLIBDENO;SALA 700;3300-MC-701-02;B;TAG  Motor;MOLYBDENUM CONCENTRATE FILTER POWER HEATER;na;na;na;na;1.34;1;460;2.17;0;0;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
FILTRADO DE MOLIBDENO;SALA 700;3300-MC-701-02;B;TAG  Motor;MOLYBDENUM BAG LOADER ;na;na;na;na;12.06;9;460;19.57;0;0;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
FILTRADO DE MOLIBDENO;SALA 700;3300-MC-701-02;B;TAG  Motor;MOLYBDENUM FILTER DRYING AIR COMPRESOR;na;na;na;na;49.60;37;460;80.43;0;0;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
FILTRADO DE MOLIBDENO;SALA 700;3300-MC-701-02;A;TAG  Motor;NITROGEN PLANT AIR COMPRESSOR;na;na;na;na;120.64;90;460;195.65;0;0;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
FILTRADO DE MOLIBDENO;SALA 700;3300-MC-701-02;B;TAG  Motor;MOLYBDENUM DRYER;WEG;Z00218ET30031213;1019127346;NF;3.00;2.2;460;3.91;1755;60;3;0.79;1.15;89.5;87.8;112 M;6207-ZZ;6206-ZZ;50;F;K;46.8 Kg;R;P;S;G
LABORATORIO QUMICO;SALA;SIN TAG;B;TAG  Motor;METAL CHANCADORA DE QUIJADA;SIEMENES;NF;1LA7131-4YA80;132S/M;10.00;7.5;440;14.4;1730;60;3;0.72;NF;NF;NF;132S/M;62082ZC3;62082ZC3;40;F;NF;45.6 Kg;na;na;na;na
LABORATORIO QUMICO;SALA;DS-010;B;TAG  Motor;EXTRACTOR DE POLVOS DS10;WEG;TE1BFOX#;1014252056;132M;15.00;11;440;19.6;1755;60;3;0.85;1.15;88.6;NF;132M;6308-ZZ;6207-ZZ;40;F;K;74 Kg;na;na;na;na
LABORATORIO QUMICO;SALA;SIN TAG;B;TAG  Motor;CHANCADORA QUIJADA;WEG;TE1BFOX#;1018154742;100L;5.00;3.7;440;7.01;1710;60;3;0.81;1.15;85.5;NF;100L;6306-ZZ;6205-ZZ;40;F;K;34 Kg;na;na;na;na
LABORATORIO QUMICO;SALA;SIN TAG;B;TAG  Motor;DIVISOR ROTATORIO;WEG;TE1BFOX#;10322793870;71;0.75;0.55;440;1.33;1680;60;3;0.72;1.15;NF;NF;71;6202-ZZ;6202-ZZ;40;F;K;NF;na;na;na;na
LABORATORIO QUMICO;SALA;SIN TAG;B;TAG  Motor;MESA DE RODILLOS 2;WEG;TE1BFOX#;NF;71;0.50;0.37;440;1.05;1680;60;3;0.69;1.15;NF;NF;71;6202-ZZ;6202-ZZ;40;F;K;NF;na;na;na;na
LABORATORIO QUMICO;SALA;SIN TAG;B;TAG  Motor;MOTOR DE CELDA ;WEG;TE1BFOX#;1018003997;71;0.50;0.37;440;1.05;1680;60;3;0.69;1.15;NF;NF;71;6202-ZZ;6202-ZZ;40;F;K;NF;na;na;na;na
LABORATORIO QUMICO;SALA;SIN TAG;B;TAG  Motor;MOTOR DE CELDA ;SEW EURODRIVE;DRE80M4/FF;20.1932564201.0003.14;NF;1.00;0.75;420;1.75;1435;50;3;0.79;NF;81;NF;NF;NF;NF;NF;F;NF;15 Kg;na;na;na;na
LABORATORIO QUMICO;SALA;SIN TAG;B;TAG  Motor;MESA DE RODILLOS;WEG;GP08228;NBR7094;71;0.50;0.37;440;1.04;1720;60;3;0.69;1.15;68;NF;71;6203-ZZ;6202-ZZ;40;F;K;NF;na;na;na;na
LABORATORIO QUMICO;SALA;SIN TAG;B;TAG  Motor;MOLINO BOND;WEG;TE1BFOX#;1018115704;80;1.00;0.75;440;1.78;1730;60;3;0.82;1.15;78.2;NF;80;6204-ZZ;6203-ZZ;40;F;K;NF;na;na;na;na
LABORATORIO QUMICO;SALA;SIN TAG;B;TAG  Motor;DEFLAMADOR SIN TAG;SIEMENES;1LA7080-6;NF;NF;0.60;0.44;440;1.2;1080;60;3;0.82;NF;60;NF;1LA7080-6;NF;NF;40;F;NF;8.5 Kg;na;na;na;na
LABORATORIO QUMICO;SALA;SIN TAG;B;TAG  Motor;MOLINO SAG 1;WEG;NF;1015302274;NF;1.00;0.75;440;1.78;1730;60;3;0.82;1.15;78.2;NF;80;6204-ZZ;6203-ZZ;40;F;K;NF;na;na;na;na
LABORATORIO QUMICO;SALA;SIN TAG;B;TAG  Motor;BOMBA DOCIFICADORA 2;SEW EURODRIVE;NF;410218863001000115;RF57DRS90L4;3.00;2.2;440;4.30;1715;60;3;0.80;NF;NF;NF;NF;NF;NF;40;F;NF;43Kg;na;na;na;na
LABORATORIO QUMICO;SALA;SIN TAG;B;TAG  Motor;CHANCADORA DE QUIJADA 1;SIEMENES;1LE1042 1CB26;1906800019819301/074;132M;1.00;0.75;440;13.6;1750;60;3;0.82;1.15;87.5;NF;132M;6208-ZZC3;6208-ZZC3;40;F;NF;NF;na;na;na;na
LABORATORIO QUMICO;SALA;SIN TAG;B;TAG  Motor;TAMIZADOR 1;NF;2F-12/100;17104;NF;0.21;0.16;240 /380;052 /027;3600;60;3;NF;NF;NF;NF;NF;NF;NF;NF;F;NF;100 kG;na;na;na;na
LABORATORIO QUMICO;SALA;SIN TAG;B;TAG  Motor;BOMBA DOCIFICADORA;SEW EURODRIVE;NF;410248022401000115;RF57DRS90L4;3.00;2.2;440;4.30;1715;60;3;0.8;NF;NF;NF;NF;NF;NF;40;F;NF;43Kg;na;na;na;na
LABORATORIO QUMICO;SALA;SIN TAG;B;TAG  Motor;EXTRACTORES DE GASES;DELCROSA;SH 80X-2C;211112760;B3;2.00;1.5;440;2.95;3480;60;3;0.82;1.15;NF;NF;SH80X-2C;62042ZC3;624042ZC3;45;F;NF;115 Kg;na;na;na;na
LABORATORIO QUMICO;SALA;SIN TAG;B;TAG  Motor;BOMBA DE SODA CAUSTICA;GMXA;NF;2018028969;GMXaa0220PVT2000UAC1300ES;0.33;0.25;100 / 220;0.25  / 1.0;NF;60;3;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;na;na;na;na
